lead_name,title,organization,email,email_status,phone,phone_status,usable_candidate,operator_label,candidate_category,rank,query,run_id,fit_score,evidence_score,contact_score,ranking_gate,source_name_url,source_title_url,source_org_url,source_email_url,source_phone_url,source_access_status,validation_notes,checked_at,location,recipe_name,sort_mode,generated_at
Ready Lead 1,Director of Technology,Ready District 1,ready1@district.example,verified_found,,missing,yes,READY,person_lead,1,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.91,0.88,0.82,usable,https://district.example/ready-1,https://district.example/ready-1,https://district.example/ready-1,https://district.example/ready-1,https://district.example/ready-1,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: usable | Gate passed: yes | Summary: Ready row has source-backed contact support. | Why target: Owns technology decisions with public contact proof. | Field statuses: name=supported; title=supported; organization=supported; email=verified_found; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Ready Lead 2,Director of Technology,Ready District 2,ready2@district.example,verified_found,,missing,yes,READY,person_lead,2,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.91,0.88,0.82,usable,https://district.example/ready-2,https://district.example/ready-2,https://district.example/ready-2,https://district.example/ready-2,https://district.example/ready-2,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: usable | Gate passed: yes | Summary: Ready row has source-backed contact support. | Why target: Owns technology decisions with public contact proof. | Field statuses: name=supported; title=supported; organization=supported; email=verified_found; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Ready Lead 3,Director of Technology,Ready District 3,ready3@district.example,verified_found,,missing,yes,READY,person_lead,3,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.91,0.88,0.82,usable,https://district.example/ready-3,https://district.example/ready-3,https://district.example/ready-3,https://district.example/ready-3,https://district.example/ready-3,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: usable | Gate passed: yes | Summary: Ready row has source-backed contact support. | Why target: Owns technology decisions with public contact proof. | Field statuses: name=supported; title=supported; organization=supported; email=verified_found; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Ready Lead 4,Director of Technology,Ready District 4,ready4@district.example,verified_found,,missing,yes,READY,person_lead,4,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.91,0.88,0.82,usable,https://district.example/ready-4,https://district.example/ready-4,https://district.example/ready-4,https://district.example/ready-4,https://district.example/ready-4,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: usable | Gate passed: yes | Summary: Ready row has source-backed contact support. | Why target: Owns technology decisions with public contact proof. | Field statuses: name=supported; title=supported; organization=supported; email=verified_found; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Ready Lead 5,Director of Technology,Ready District 5,ready5@district.example,verified_found,,missing,yes,READY,person_lead,5,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.91,0.88,0.82,usable,https://district.example/ready-5,https://district.example/ready-5,https://district.example/ready-5,https://district.example/ready-5,https://district.example/ready-5,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: usable | Gate passed: yes | Summary: Ready row has source-backed contact support. | Why target: Owns technology decisions with public contact proof. | Field statuses: name=supported; title=supported; organization=supported; email=verified_found; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 1,Technology Coordinator,Review District 1,,missing,,missing,no,REVIEW,person_lead,6,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-1,https://district.example/review-1,https://district.example/review-1,https://district.example/review-1,https://district.example/review-1,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 2,Technology Coordinator,Review District 2,,missing,,missing,no,REVIEW,person_lead,7,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-2,https://district.example/review-2,https://district.example/review-2,https://district.example/review-2,https://district.example/review-2,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 3,Technology Coordinator,Review District 3,,missing,,missing,no,REVIEW,person_lead,8,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-3,https://district.example/review-3,https://district.example/review-3,https://district.example/review-3,https://district.example/review-3,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 4,Technology Coordinator,Review District 4,,missing,,missing,no,REVIEW,person_lead,9,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-4,https://district.example/review-4,https://district.example/review-4,https://district.example/review-4,https://district.example/review-4,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 5,Technology Coordinator,Review District 5,,missing,,missing,no,REVIEW,person_lead,10,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-5,https://district.example/review-5,https://district.example/review-5,https://district.example/review-5,https://district.example/review-5,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 6,Technology Coordinator,Review District 6,,missing,,missing,no,REVIEW,person_lead,11,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-6,https://district.example/review-6,https://district.example/review-6,https://district.example/review-6,https://district.example/review-6,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 7,Technology Coordinator,Review District 7,,missing,,missing,no,REVIEW,person_lead,12,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-7,https://district.example/review-7,https://district.example/review-7,https://district.example/review-7,https://district.example/review-7,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 8,Technology Coordinator,Review District 8,,missing,,missing,no,REVIEW,person_lead,13,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-8,https://district.example/review-8,https://district.example/review-8,https://district.example/review-8,https://district.example/review-8,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 9,Technology Coordinator,Review District 9,,missing,,missing,no,REVIEW,person_lead,14,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-9,https://district.example/review-9,https://district.example/review-9,https://district.example/review-9,https://district.example/review-9,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 10,Technology Coordinator,Review District 10,,missing,,missing,no,REVIEW,person_lead,15,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-10,https://district.example/review-10,https://district.example/review-10,https://district.example/review-10,https://district.example/review-10,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 11,Technology Coordinator,Review District 11,,missing,,missing,no,REVIEW,person_lead,16,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-11,https://district.example/review-11,https://district.example/review-11,https://district.example/review-11,https://district.example/review-11,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 12,Technology Coordinator,Review District 12,,missing,,missing,no,REVIEW,person_lead,17,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-12,https://district.example/review-12,https://district.example/review-12,https://district.example/review-12,https://district.example/review-12,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 13,Technology Coordinator,Review District 13,,missing,,missing,no,REVIEW,person_lead,18,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-13,https://district.example/review-13,https://district.example/review-13,https://district.example/review-13,https://district.example/review-13,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 14,Technology Coordinator,Review District 14,,missing,,missing,no,REVIEW,person_lead,19,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-14,https://district.example/review-14,https://district.example/review-14,https://district.example/review-14,https://district.example/review-14,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 15,Technology Coordinator,Review District 15,,missing,,missing,no,REVIEW,person_lead,20,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-15,https://district.example/review-15,https://district.example/review-15,https://district.example/review-15,https://district.example/review-15,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
